Neuron_number,Layers_number,Dropout_rate,LearningRate,Neuron_number_change,Loss,Accuracy
1,1,0.1,0.05,flat,0.5639150142669678,1.0
1,1,0.1,0.1,flat,1.0816618204116821,0.5
1,1,0.1,0.15,flat,0.8102927803993225,0.5
1,1,0.1,0.2,flat,0.8553624153137207,0.6111111044883728
1,1,0.2,0.05,flat,0.8592686057090759,0.8333333134651184
1,1,0.2,0.1,flat,0.6555373668670654,0.8333333134651184
1,1,0.2,0.15,flat,0.74802565574646,0.7777777910232544
1,1,0.2,0.2,flat,0.8394744396209717,0.6111111044883728
1,1,0.3,0.05,flat,0.8421633839607239,0.7222222089767456
1,1,0.3,0.1,flat,0.8715606331825256,0.6666666865348816
1,1,0.3,0.15,flat,0.4696441888809204,0.8333333134651184
1,1,0.3,0.2,flat,0.8060622811317444,0.7222222089767456
2,1,0.1,0.05,flat,0.6631951332092285,0.8333333134651184
2,1,0.1,0.1,flat,0.7708387970924377,0.6666666865348816
2,1,0.1,0.15,flat,0.684441864490509,0.6666666865348816
2,1,0.1,0.2,flat,0.555091142654419,0.8333333134651184
2,1,0.2,0.05,flat,0.9415085911750793,0.7777777910232544
2,1,0.2,0.1,flat,0.3318246304988861,0.8333333134651184
2,1,0.2,0.15,flat,0.24265654385089874,1.0
2,1,0.2,0.2,flat,0.45054054260253906,0.9444444179534912
2,1,0.3,0.05,flat,0.6219833493232727,0.6666666865348816
2,1,0.3,0.1,flat,0.646084725856781,0.8333333134651184
2,1,0.3,0.15,flat,0.6195793151855469,0.7777777910232544
2,1,0.3,0.2,flat,0.7857680916786194,0.5
3,1,0.1,0.05,flat,0.6826529502868652,0.8333333134651184
3,1,0.1,0.1,flat,0.7425346374511719,0.5555555820465088
3,1,0.1,0.15,flat,0.5893456935882568,0.8333333134651184
3,1,0.1,0.2,flat,0.3293495774269104,1.0
3,1,0.2,0.05,flat,0.4880308508872986,0.8333333134651184
3,1,0.2,0.1,flat,0.30484578013420105,1.0
3,1,0.2,0.15,flat,0.47287797927856445,0.8888888955116272
3,1,0.2,0.2,flat,0.5178471803665161,0.7777777910232544
3,1,0.3,0.05,flat,0.3283843398094177,1.0
3,1,0.3,0.1,flat,0.1722477823495865,1.0
3,1,0.3,0.15,flat,0.6886382102966309,0.5
3,1,0.3,0.2,flat,0.5275208353996277,0.6666666865348816
4,1,0.1,0.05,flat,0.3052298128604889,1.0
